亚比名,页面标题,详情链接,系别集合,编号集合,编号数量,技能行数,种族值行数,来源,状态,错误,解析表格数
tujian-4474,奥拉星火花龙 小火娃 火宝宝技能表配招练级,http://aola.100bt.com/tujian/4474.html,,4474,1,0,21,100bt-id,成功,,1
tujian-4531,奥拉星电击拳仔 鬼脸仔 大眼仔技能表配招练级,http://aola.100bt.com/tujian/4531.html,,4531,1,0,56,100bt-id,成功,,9
tujian-4549,奥拉星赤炎战斗龙 积木龙 小木龙技能表配招练级,http://aola.100bt.com/tujian/4549.html,,4549,1,0,21,100bt-id,成功,,1
tujian-4564,奥拉星骰子大王 扑克小丑 七彩小丑技能表配招练级,http://aola.100bt.com/tujian/4564.html,,4564,1,0,21,100bt-id,成功,,1
tujian-4594,奥拉星青龙灵兽 青龙幼灵技能表配招练级,http://aola.100bt.com/tujian/4594.html,,4594,1,0,21,100bt-id,成功,,1
tujian-4612,奥拉星烈焰鸟 烈火鸟 赤火鸟技能表配招练级,http://aola.100bt.com/tujian/4612.html,,4612,1,0,22,100bt-id,成功,,1
tujian-4615,奥拉星飞行魔书 绿皮书克 书克技能表配招练级,http://aola.100bt.com/tujian/4615.html,,4615,1,0,56,100bt-id,成功,,9
tujian-4639,奥拉星天使莱特 光明莱特 莱特技能表配招练级,http://aola.100bt.com/tujian/4639.html,,4639,1,0,22,100bt-id,成功,,1
tujian-4642,奥拉星七星神龙 腾云龙 小神龙技能表配招练级,http://aola.100bt.com/tujian/4642.html,,4642,1,0,21,100bt-id,成功,,1
tujian-4645,奥拉星焚天大圣 火焰猴 火耳猴技能表配招练级,http://aola.100bt.com/tujian/4645.html,,4645,1,0,18,100bt-id,成功,,1
tujian-4648,奥拉星棕叶战熊 棕叶熊 木格熊技能表配招练级,http://aola.100bt.com/tujian/4648.html,,4648,1,0,19,100bt-id,成功,,1
tujian-4666,奥拉星十字匹诺 匹诺 阿诺技能表配招练级,http://aola.100bt.com/tujian/4666.html,,4666,1,0,21,100bt-id,成功,,1
tujian-4690,奥拉星火云牛斗士 火焰牛仔 圈圈牛技能表配招练级,http://aola.100bt.com/tujian/4690.html,,4690,1,0,21,100bt-id,成功,,1
tujian-4696,奥拉星托马斯 托比技能表配招练级,http://aola.100bt.com/tujian/4696.html,,4696,1,0,20,100bt-id,成功,,1
tujian-4786,奥拉星蓝鳍海鲨 双箭鱼 点点鱼技能表配招练级,http://aola.100bt.com/tujian/4786.html,,4786,1,0,21,100bt-id,成功,,1
tujian-4801,奥拉星蓝宝星 红宝星 宝宝星技能表配招练级,http://aola.100bt.com/tujian/4801.html,,4801,1,0,21,100bt-id,成功,,1
tujian-4861,奥拉星白虎灵兽 白虎幼灵技能表配招练级,http://aola.100bt.com/tujian/4861.html,,4861,1,0,21,100bt-id,成功,,1
tujian-4891,奥拉星拉比 瑞比 吉比技能表配招练级,http://aola.100bt.com/tujian/4891.html,,4891,1,0,24,100bt-id,成功,,1
tujian-4957,奥拉星电击拳怪 鬼脸怪 大眼怪技能表配招练级,http://aola.100bt.com/tujian/4957.html,,4957,1,0,56,100bt-id,成功,,9
tujian-4966,奥拉星冰霜射手 冰寒射手 冰封小射手技能表配招练级,http://aola.100bt.com/tujian/4966.html,,4966,1,0,21,100bt-id,成功,,1
tujian-4981,奥拉星熊猫大侠 熊猫小子 熊猫仔技能表配招练级,http://aola.100bt.com/tujian/4981.html,,4981,1,0,21,100bt-id,成功,,1
