chain_anchor_id,evo_level,race_id,race_name
3,0,1,兔小子
3,18,2,犀利兔
3,36,3,大师兔
6,0,4,吉拉
6,18,5,吉拉狮
6,36,6,爆焰吉拉
9,0,7,滴滴
9,18,8,露滴
9,36,9,露西亚
12,0,10,朵朵兔
12,16,11,雪咪兔
12,32,12,寒冰玉兔
15,0,13,炎蘑菇
15,16,14,熔炎怪
15,32,15,埃拉多夫
18,0,16,闪光河豚
18,16,17,电击河豚
18,32,18,霹雳河豚
21,0,19,半沙之子
21,16,20,半沙拳手
21,32,21,半沙斗士
24,0,22,小花苞
24,16,23,小花蝶
24,32,24,花冠狮
27,0,25,依灵
27,18,26,依舞
27,36,27,依诗
30,0,28,变色蜥蜴
30,18,29,变色刺龙
30,36,30,变色角龙
33,0,31,大嘴鲨
33,18,32,巨齿鲨
33,36,33,鲨鱼王
36,0,34,小石怪
36,18,35,隆咚石
36,36,36,震天石人
39,0,37,小伊莎
39,18,38,伊莎贝尔
39,36,39,伊莎女王
42,0,40,小角虫
42,18,41,木角虫
42,36,42,独角仙
45,0,43,小冰犬
45,18,44,冰角犬
45,36,45,飞天犬
48,0,46,火丁
48,18,47,火霍仔
48,36,48,火巨人
51,0,49,克林
51,18,50,克林纳
51,36,51,奥特克林
54,0,52,毛毛球
54,16,53,绒绒
54,32,54,白古丁
57,0,55,小鼠蝠
57,16,56,尖翼蝠
57,32,57,黑蝠王
60,0,58,扭扭
60,20,59,扭扭蛇
60,40,60,扭扭大王
63,0,61,库多兽
63,20,62,库多
63,40,63,库斯特
66,0,64,小火炉
66,20,65,火炉怪
66,40,66,摩格
69,0,67,乌拉
69,20,68,乌可拉
69,40,69,乌歌拉
72,0,70,斯多鼠
72,20,71,斯多恩
72,40,72,斯多王
75,0,73,可拉蟹
75,20,74,哥拉蟹
75,40,75,歌拉迪
78,0,76,盼盼
78,18,77,铁甲盼盼
78,36,78,铁甲卫士
81,0,79,六眼灵
81,20,80,夜眼怪
81,40,81,夜眼风魔
84,0,82,木木鸟
84,20,83,琉璃鸟
84,40,84,蓝鹰斗士
87,0,85,艾司
87,20,86,冰刺艾司
87,40,87,冰拳艾司
90,0,88,圆角羊
90,20,89,锐角羊龙
90,40,90,沙麒麟
93,0,91,木面仔
93,20,92,木面人
93,40,93,木面侠
96,0,94,库巴
96,20,95,坚壳库巴
96,40,96,金刚库巴
99,0,97,火宝宝
99,20,98,小火娃
99,40,99,火花龙
102,0,100,合金铁人
102,20,101,合金战士
102,40,102,合金猛将
105,0,103,赤月
105,20,104,红霜月
105,40,105,神武月
108,0,106,小黄蜂
108,20,107,赤眼黄蜂
108,40,108,利刺大黄蜂
111,0,109,炎风
111,20,110,无炎
111,40,111,战无炎
114,0,112,小时
114,20,113,时间守卫
114,40,114,时间之神
118,,118,骑士战马
119,,119,鲁阿鲁
120,,120,福气熊猫
123,0,121,机甲护卫
123,20,122,机甲战士
123,40,123,机甲勇士
126,0,124,圆尾蝎
126,20,125,刺锤蝎
126,40,126,蝎子王
129,0,127,贝拉
129,20,128,洁羽贝拉
129,40,129,彩羽贝拉
132,0,130,卡伦
132,20,131,坚翼卡伦
132,40,132,暗夜卡伦
135,0,133,魅影娃娃
135,20,134,魅影幽灵
135,40,135,魅影魔
138,0,136,毛毛
138,20,137,嘻哈鸟
138,40,138,小翼鸟
141,0,139,先锋小子
141,20,140,冲刺先锋
141,40,141,音速先锋
144,0,142,冰蓝蓝
144,18,143,冰雾蓝
144,36,144,雪雾怪
147,0,145,绿叶鹿
147,20,146,桃花鹿
147,40,147,芭比鹿
150,0,148,小白方
150,20,149,数码魔方
150,40,150,冲锋魔方
153,0,151,嘟嘟
153,20,152,雷云嘟嘟
153,40,153,雷云狮
156,0,154,闪电球
156,20,155,闪电星
156,40,156,霹雳星
159,0,157,大眼仔
159,18,158,鬼脸仔
159,36,159,电击拳仔
162,0,160,扁扁
162,20,161,电扁扁
162,40,162,法拉帝
165,0,163,托雷
165,20,164,托尔索
165,40,165,雷鸣托尔索
168,0,166,乌羽
168,20,167,乌羽飞雀
168,40,168,神杖执事
171,0,169,妞妞
171,20,170,雅妞
171,40,171,雅夫人
174,0,172,小木龙
174,20,173,积木龙
174,40,174,赤炎战斗龙
177,0,175,七彩小丑
177,20,176,扑克小丑
177,40,177,骰子大王
180,0,178,幽幽猫
180,20,179,幽翼猫
180,40,180,夜一
183,0,181,海马小兵
183,20,182,海马刀客
183,40,183,海马剑士
186,0,184,鲁多
186,20,185,鲁纳多
186,40,186,鲁纳比克
189,0,187,小雪鹿
189,20,188,瞳彩鹿
189,40,189,犄角麋鹿
192,0,190,修普
192,20,191,修普曼
192,40,192,修普森曼
195,0,193,微光幽灵
195,20,194,夜影幽灵
195,40,195,影刃
198,0,196,卡布
