总计: 55
[1] ??1219 | 命中后削弱对方单体防御和特防的等级各1级
[2] 暗之铁拳 | 命中后降低对方攻击1级，10%机率令对方害怕
[3] 奥特冰拳 | 攻击对方单体，命中后削弱自己速度等级1级
[4] 奥特极光闪 | 命中后降低对方攻击和特攻1级
[5] 奥特疾风脚 | 命中后提升自身速度1级
[6] 暴力冰棒 | 受到伤害，50%概率提升自己闪避等级1级，持续5回合，更换亚比有效
[7] 崩裂爪 | 20%概率令对方单体害怕，命中后提升自己的命中等级1级
[8] 超合金哑铃 | 攻击对方单体，命中后削弱自己速度等级1级
[9] 穿云裂石 | 命中后提升自身速度1级，5%机率提升自身全属性1级
[10] 电魂 | 命中后令对方单体麻痹，削弱自己特攻和速度的等级各1级
[11] 定海神针 | 攻击对方单体，容易暴击，命中后削弱自己速度等级1级
[12] 断空之镜 | 若先发，当回合抵挡对方伤害，并将对方造成伤害值的1/2反击对手，使用后削弱自己特攻和速度的等级1级
[13] 飞岩走壁 | 使用后3回合内，受到伤害则提升自身防御和特防的等级各1级
[14] 风灵夜舞 | 命中后削弱对方速度等级1级，40%概率令对方中毒
[15] 风木剑 | 攻击对方单体，25％概率令对方单体中毒，命中后提升自己速度等级1级
[16] 浮云神马蹄 | 命中后100％令对手麻痹，同时降低自身攻击和特攻两级
[17] 高速旋转 | 自己受到伤害则自动提升速度等级1级，持续5回合，不可叠加使用，替换亚比有效
[18] 海纳百川 | 命中后降低对方速度1级，20%机率令对方混乱
[19] 寒光缠绕 | 攻击敌方全体，若命中则100％降低对手速度一级
[20] 幻化千雷闪 | 命中后降低自身攻击和速度1级
[21] 黄金巨拳 | 本回合削弱对方单体防御和速度的等级各1级，下回合自动攻击对方
[22] 极速喷气 | 命中后提升自己速度等级1级
[23] 角刀光电炮 | 攻击敌方1体，命中后降低自身防御和特防各一级
[24] 绝对防御 | 先发；每次受到伤害时，60%概率削弱对方攻击和特攻等级各1级，持续3回合
[25] 烈风之刃 | 1回合内攻击对方单体4~6次，命中后提升自己暴击等级1级
[26] 龙烈焰 | 命中后40%概率提升自己暴击等级1级
[27] 龙翔 | 攻击对方单体，命中后提升自己速度等级1级
[28] 龙战于野 | 提高自身双攻、速度等级两级，本回合结束时，自身HP下降为1点
[29] 萝卜巨锤 | 50%概率发动1.2倍威力，命中后削弱自己速度等级1级
[30] 蔓藤禁锢 | 攻击敌方1体，若命中则100％削弱对手速度两级
[31] 迷魂魅影 | 30%概率麻痹对方单体，命中后削弱自己防御和特防的等级各1级
[32] 蜜桃甜甜 | 使用后5回合内，受到伤害时70%概率削弱对方特攻等级1级
[33] 喵喵拳 | 命中后削弱自己攻击等级1级
[34] 喵爪狂击 | 本回合削弱对方单体防御和速度的等级各1级，下回合攻击对方1-20次
[35] 能力回收 | 先发；清除对方单体提升的能力等级，命中后自己停止行动1回合
[36] 霹雳霹雳 | 本回合自己承受伤害减半并提升速度等级1级，下回合自动攻击对方，50%概率麻痹对方
[37] 破魔剑气 | 先发，命中后削弱自己防御等级1级
[38] 潜龙勿用 | 两回合自身无法行动，两回合后提高自身全属性3级
[39] 山魂震慑 | 命中后提升自身普攻和普防1级
[40] 神鸟 | 本回合休息，提升暴击等级，下回合攻击对方单体，30％概率令对方害怕
[41] 神圣光暴 | 攻击对方单体，随机爆发220~280的威力，命中后提升自己暴击等级1级
[42] 时钟滴答 | 后发，命中后50%概率削弱对方攻击等级1级
[43] 速战强袭 | 攻击对方单体，命中后提升自己速度等级1级
[44] 无尽黑洞 | 先发，重置双方提升的能力等级，50%概率令对方当回合攻击难以命中
[45] 翔空之翼 | 1回合内攻击对方单体4~6次，命中后提升自己速度等级1级
[46] 萧郎一剑 | 命中后削弱对方单体速度等级1级
[47] 蓄力强击 | 自己速度比对方慢，则威力加倍，否则减半，命中后削弱对方速度等级1级
[48] 玄灵甲 | 先发；使用后3个回合伤害减半，受到伤害都有50%机率降低对方全属性1级，不可叠加使用
[49] 旋空斩 | 1回合内攻击对方单体4~6次，命中后提升自己特攻等级1级
[50] 揠苗助长 | 攻击对方单体，随机扣除对方50~200的体力值，命中后提升自己双防等级1级
[51] 岩裂 | 攻击对方单体，命中后提升自己特防等级1级
[52] 玉石俱焚 | 攻击对方单体，10%概率削弱对方全属性1级，命中后消耗自己所有技能的PP
[53] 月影无踪 | 攻击敌方1体，命中后1/3机率降低对方全属性1级，1/3机率令对方害怕
[54] 致命火焰 | 攻击对方单体，命中后削弱自己速度和闪避的等级各1级
[55] 猪猪苗苗盾 | 先发；每次受到伤害都有50%概率削弱对方双攻等级1级，持续3回合，不可叠加使用
