总计: 17
[1] 放晴 | 全场火系威力提升50％，水系威力削弱50％，不可叠加使用，持续5回合
[2] 火神祝福 | 全场火系威力提升50％，水系威力削弱50％，不可叠加使用，持续5回合
[3] 火神祝福 | 全场火系威力增加50％，水系威力减少50％
[4] 机械力量 | 全场机械系威力提升50%，不可叠加使用
[5] 极地效应 | 全场冰系威力提升50%，不可叠加使用
[6] 极地效应 | 全场冰系威力增加50%
[7] 卡卡音魂 | 全场神秘系威力增加50%
[8] 烈焰焚天 | 攻击敌方全场，威力随自身体力减少而减小
[9] 灭世洪流 | 攻击敌方全场，威力随自身体力减少而减小
[10] 七彩斑斓 | 使用后接下来4回合，我方全场光明系技能威力提升30%，伤害抵抗能力增加30%，不可叠加使用
[11] 祈雨 | 全场水系威力提升50％，火系威力削弱50％，不可叠加使用，5回合有效
[12] 石轮回旋击 | 攻击敌方1体，五回合内每回合威力增加，使用元素庇护后威力加倍
[13] 水神祝福 | 全场水系威力提升50％，火系威力削弱50％，不可叠加使用，5回合有效
[14] 水神祝福 | 全场水系威力增加50％，火系威力减少50％
[15] 天马行空 | 使用后3回合内，飞行系技能威力增加15%，伤害抵抗增加40%，不可叠加使用，交换亚比有效
[16] 虚无之境 | 全场效果，10回合内上古系威力增加20%，冰系威力减小20%
[17] 虚无之境 | 10回合内，全场“上古系”技能威力提升20%，“冰系”威力削弱20%
