????: 1996
???????????(???): 447

1. ??1219	命中后削弱对方单体防御和特防的等级各1级
2. ??3208	提升自己攻击、速度和闪避的等级各2级
3. 暗魂	提升自己的攻击和速度的等级各1级，一定概率令提升效果翻倍
4. 暗射魔影	攻击对方单体，20％概率削弱对方单体防御等级1级
5. 暗之铁拳	削弱对方单体攻击等级1级，10%概率令对方害怕
6. 奥特冰拳	攻击对方单体，命中后削弱自己速度等级1级
7. 奥特飞轮	削弱对方单体防御和特防的等级各1级
8. 奥特极光闪	命中后降低对方攻击和特攻1级
9. 奥特截击	降低对方特攻和特防1级
10. 奥特切裂	降低对方速度和防御1级
11. 奥特闪光	削弱对方单体攻击和特攻的等级各1级
12. 霸力场	削弱对方单体攻击和防御的等级各1级
13. 霸龙崩山击	15%概率提升自己全属性1级
14. 霸天拳	对方麻痹时，30%概率削弱对方全属性1级
15. 白眼	提升自己命中等级2级
16. 百兽神威	先发；80%概率束缚对方2~5回合，对方每受到束缚伤害1次，就降低对方命中等级1级
17. 百味果缤纷	20%概率削弱对方单体攻击等级1级
18. 百无禁忌	削弱对方单体攻击和防御的等级各1级，20%概率令对方麻痹
19. 暴力冰棒	受到伤害，50%概率提升自己闪避等级1级，持续5回合，更换亚比有效
20. 暴力拳套	提升自己攻击和暴击的等级各1级，削弱防御等级1级
21. 暴力掌	30%概率提升自己的暴击等级1级
22. 暴雨狂岚	一回合攻击对方4次，每次有10%概率削弱对方防御和特防的等级各1级
23. 爆裂角刺	攻击对方单体，提升自己暴击等级2级，削弱自己防御等级1级
24. 爆裂怒击	攻击对方单体，命中则削弱对方特防等级1级，但自己需要承受伤害值的1/4
25. 爆裂破碎击	降低自己防御和特防的等级各1级
26. 爆裂破碎击	命中敌方1体后自身防御及特防下降一级
27. 爆裂铁臂	20%概率令对方单体害怕，20%概率提升自己特攻等级1级
28. 爆炎踢	攻击对方单体，自己提升暴击等级，10％概率令对方烧伤
29. 贝壳力量	扣除自己体力值100点，提升特攻等级2级和速度等级1级
30. 崩击之爪	50％概率削弱对方单体防御等级1级
31. 崩裂爪	20%概率令对方单体害怕，命中后提升自己的命中等级1级
32. 崩山大力拳	40%概率提升自己防御和特防的等级各1级
33. 碧海滔天	50%概率削弱对方命中等级1级，若对方烧伤，削弱概率增加至80%
34. 蔽日水弹	50％概率削弱对方单体命中等级1级
35. 变圆	提升自己防御等级1级
36. 冰雹	提升自己特攻和暴击的等级各1级
37. 冰晶银箭	1回合内攻击对方5次，每次攻击有10%概率削弱对方特攻等级1级
38. 冰雪神杖	削弱对方单体速度等级1级，20%概率令对方冰冻
39. 冰幽闪	攻击对方单体，50%概率令对方单体冰冻，对方每受到冰冻伤害1次，就提升自己闪避等级1级
40. 冰之辉	提升自己攻击和闪避的等级各1级
41. 冰之梦镜	先发，令对方单体冰冻，10%概率提升自己全属性1级
42. 冰之爪牙	提升自己速度等级1级，然后连续攻击对方单体2回合
43. 波纹震荡	随机攻击对方1~3回合，每次攻击可以削弱对方攻击等级1级
44. 超合金哑铃	攻击对方单体，命中后削弱自己速度等级1级
45. 超级健忘	提升自己特防等级2级
46. 超能糖果	提升自己攻击、特攻和速度的等级各1级，50%概率恢复自己被削弱的能力等级
47. 超速闪避	提升自己速度和回避的等级各1级
48. 超速闪避	自身速度与回避提升一级
49. 超岩石壁	先发；提升自己防御和特防的等级各1级
50. 尘飞沙舞	提升自己特防和速度的等级各1级
51. 迟钝	先发，削弱对方单体速度等级2级，20%概率令对方混乱
52. 赤幻之火	削弱对方单体攻击和特攻的等级各1级，并且令对方烧伤
53. 赤色影魅	持续5回合进入隐身状态，75%概率无视对方的特殊攻击，自己攻击等级下降2级，但受到普通攻击的伤害会加倍；替换亚比则会立即解除隐身状态，不可叠加使用
54. 炽热长剑	60%概率削弱对方单体防御等级1级
55. 充电	提升自己特防等级1级；下回合自己使用电系技能威力加倍
56. 穿云箭	攻击对方全体，削弱对手防御和特防的等级各2级
57. 穿云裂石	命中后提升自身速度1级，5%机率提升自身全属性1级
58. 磁场逆转	必定命中，削弱对方单体防御和特防的等级各2级
59. 磁能噬灵	攻击对方单体，随机扣除对方200~300的体力值，40%概率削弱对方攻击和特攻等级各1级
60. 催泪射线	50％概率令对方混乱，50％概率削弱对方命中等级1级
61. 大地之力	10%概率削弱对方单体特防等级1级
62. 大地之力	攻击对方单体，10％概率令自己全属性提升1级
63. 蛋蛋闪	提升自己速度等级2级，闪避等级1级
64. 刀光剑影	削弱对方单体速度等级1级，20%概率令对方害怕
65. 刀剑如梦	提升自己攻击等级1级，回复自己1/3体力值
66. 地裂穿刺	攻击对方全体，20%概率削弱对方命中等级1级
67. 地龙狂暴	令对方单体1~3回合束缚，且对手束缚时，每回合提升自己速度等级1级
68. 瞪眼	削弱对方单体防御等级1级
69. 电波啾啾啾	40%概率削弱对方单体命中等级1级
70. 电磁辐射	削弱对方单体攻击和特攻的等级各1级
71. 电魂	命中后令对方单体麻痹，削弱自己特攻和速度的等级各1级
72. 电能储存	提升自己特攻和特防的等级各1级
73. 叮叮叮咚	削弱对方单体攻击和速度等级各1级
74. 定海神针	攻击对方单体，容易暴击，命中后削弱自己速度等级1级
75. 斗魂一击	必定命中，降低对方闪避和速度的等级各1级
76. 斗气风暴	提升自己特攻和速度的等级各1级
77. 斗气威锋	提升自己攻击和速度的等级各1级
78. 断空之镜	若先发，当回合抵挡对方伤害，并将对方造成伤害值的1/2反击对手，使用后削弱自己特攻和速度的等级1级
79. 躲进贝壳	提升自己防御等级1级
80. 恶魔的契约	25%概率令对方单体害怕并且削弱全属性1级
81. 恶魔遗言	牺牲自己，100％降低敌方1体攻击和特攻两级
82. 恶魔遗言	牺牲自己，削弱对方单体攻击和特攻等级2级
83. 方天画戟	25%概率令对方单体混乱，10%概率削弱自己速度等级1级
84. 飞龙极闪	提升自己速度等级3级和特攻等级1级
85. 飞旋二重击	对敌方1体爆发2～3次的连续打击，命中后自身攻击等级提升一级
86. 飞岩走壁	使用后3回合内，受到伤害则提升自身防御和特防的等级各1级
87. 沸腾	先发；提升自己攻击和特防的等级各1级
88. 风车锤锤	50%概率削弱对方单体速度等级1级
89. 风魂	提升自己速度和闪避的等级各1级
90. 风灵夜舞	命中后削弱对方速度等级1级，40%概率令对方中毒
91. 风木剑	攻击对方单体，25％概率令对方单体中毒，命中后提升自己速度等级1级
92. 风神附体	消耗自己最大体力值的1/2，令自己速度与回避提升三级，但命中降低三级
93. 伏击	30%概率削弱对方单体特防等级1级
94. 浮尘	攻击对方全体，15%概率削弱对方命中等级1级
95. 浮云蔽日	降低全场亚比命中等级1级
96. 浮云神马蹄	命中后100％令对手麻痹，同时降低自身攻击和特攻两级
97. 腐蚀之种	攻击对方单体，40％概率削弱对方特防等级2级
98. 钢甲护盾	提升自己防御和特防的等级各1级
99. 钢铁能量	提升自己攻击等级2级，防御等级1级
100. 钢铁哑铃	50%概率提升自己特防等级1级
101. 钢之尾	30％概率削弱对方单体防御等级1级
102. 高速旋转	自己受到伤害则自动提升速度等级1级，持续5回合，不可叠加使用，替换亚比有效
103. 高压气	提升自己特攻和暴击的等级各1级
104. 高筑城墙	先发；提升自己防御等级3级，削弱自己特攻等级1级
105. 咕噜咕噜	提升特攻和闪避的等级各1级
